,Heimteam,Gastteam,Resultat,TorschützenHeim,TorschützenGast
0,FC Rothorn ,FC Reichenbach,4:0,"
Thomas Eggenberg
                        
                    ,
Shqipron Kelmendi
                         (Penalty)
,
Fatnis Kida
                        
                    ,
Spend Bajrami
                        
                    ",
0,FC Fortuna Thun,FC Interlaken ,1:0,"
Kai Lüthi
                        
                    ",
0,FC Steffisburg ,FC Thun,3:0,"
Agim Haskaj
                        
                    ,
Joel Zmoos
                         (Penalty)
,
Agim Haskaj
                        
                    ",
0,FC Interlaken ,FC Heimberg,4:3,"
Goncalo Jose Casimiro
                        
                    ,
Pedro Emanuel Lemos
                        
                    ,
Simon Von Bergen
                        
                    ,
Pedro Emanuel Lemos
                        
                    ","
Alen Jakovljevic
                         (Penalty)
,
Kilian Gerber
                        
                    ,
Alen Jakovljevic
                        
                    "
0,SV Meiringen,FC Steffisburg ,6:2,"
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                        
                    ,
Nik Zingg
                        
                    ,
Andreas von Bergen
                        
                    ,
Urs Steinacher
                        
                    ,
Urs Steinacher
                        
                    ",
0,FC Thun,FC Rothorn ,0:6,,"
Spend Bajrami
                        
                    ,
Colin Dällenbach
                        
                    ,
Ylli Kelmendi
                        
                    ,
Daniel Trigas
                        
                    ,
Colin Dällenbach
                        
                    ,
Dorentin Balaj
                        
                    "
0,FC Sarina,FC Fortuna Thun,6:0,,
0,FC Rothorn ,SV Meiringen,2:3,"
Daniel Trigas
                        
                    ,
Spend Bajrami
                        
                    ","
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                        
                    ,
Sven Kuonen
                        
                    "
0,FC Steffisburg ,FC Interlaken ,1:3,,
0,FC Reichenbach,FC Thun,3:3,,
0,FC Heimberg,FC Sarina,2:1,,
0,FC Interlaken ,FC Rothorn ,2:2,,
0,SV Meiringen,FC Reichenbach,7:2,"
Manuele Caroselli
                        
                    ,
Manuele Caroselli
                        
                    ,
Rogério Pereira
                        
                    ,
Andreas von Bergen
                        
                    ,
Sven Kuonen
                        
                    ,
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                        
                    ","
Brian Rindlisbacher
                        
                    ,
Simon Feldmann
                        
                    "
0,FC Fortuna Thun,FC Heimberg,5:5,"
Mathias Kober
                        
                    ,
Kai Lüthi
                        
                    ,
Kai Lüthi
                        
                    ,
Ken Meyer
                        
                    ,
Timon Fahrni
                        
                    ","
Kilian Gerber
                        
                    ,
Kilian Gerber
                        
                    ,
Kilian Gerber
                        
                    ,
Martin Eggimann
                        
                    ,
Kilian Gerber
                        
                    "
0,FC Sarina,FC Steffisburg ,7:0,,
0,FC Rothorn ,FC Heimberg,6:4,"
Christian Michel
                        
                    ,
Daniel Trigas
                        
                    ,
Spend Bajrami
                        
                    ,
Christian Michel
                        
                    ,
Christian Michel
                        
                    ,
Thomas Eggenberg
                         (Penalty)
","
Kilian Gerber
                        
                    ,
Florian Schmid
                        
                    ,
Kilian Gerber
                        
                    ,
Joël Künzi
                        
                    "
0,FC Sarina,FC Rothorn ,3:3,,
0,FC Thun,SV Meiringen,1:7,"
Mehmet Xhemajli
                        
                    ","
Sandro Wyss
                        
                    ,
Sandro Wyss
                        
                    ,
Manuele Caroselli
                        
                    ,
Jan Christen
                        
                    ,
Sandro Wyss
                        
                    ,
Jan Christen
                        
                    ,
Nico Egger
                        
                    "
0,FC Steffisburg ,FC Fortuna Thun,0:1,,"
Ramon Schneider
                        
                    "
0,FC Reichenbach,FC Interlaken ,3:2,"
Cédric Allenbach
                        
                    ,
Martin Ruchti
                        
                    ,
Timo Graf
                        
                    ","
Luis Carlos Soares
                        
                    ,
Marvin Griffith
                        
                    "
0,FC Interlaken ,FC Thun,2:1,"
Joao Filipe Pereira
                        
                    ,
Joao Filipe Pereira
                        
                    ","
Patrick Herzig
                        
                    "
0,FC Fortuna Thun,FC Rothorn ,1:3,"
Daniel Schafroth
                        
                    ","
Christian Michel
                        
                    ,
Dany Zobrist
                        
                    ,
Christian Michel
                        
                    "
0,FC Heimberg,FC Steffisburg ,5:2,,
0,FC Sarina,FC Reichenbach,8:1,"
Oliver Oehrli
                        
                    ,
André Zingre
                        
                    ,
Martin Baumann
                        
                    ,
Oliver Oehrli
                        
                    ,
Luca von Grünigen
                        
                    ,
André Zingre
                        
                    ,
Martin Baumann
                         (Penalty)
,
Rolf Von Grünigen
                        
                    ","
Cédric Allenbach
                        
                    "
0,SV Meiringen,FC Interlaken ,5:1,"
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                         (Penalty)
,
Manuele Caroselli
                         (Penalty)
,
Reto Huber
                        
                    ",
0,FC Thun,FC Sarina,0:10,,"
Oliver Oehrli
                        
                    ,
Luca von Grünigen
                        
                    ,
André Zingre
                        
                    ,
Luca von Grünigen
                        
                    ,
Oliver Oehrli
                        
                    ,
Pascal Perreten
                        
                    ,
Oliver Oehrli
                        
                    ,
Oliver Oehrli
                        
                    ,
Oliver Oehrli
                        
                    ,
Oliver Oehrli
                        
                    "
0,FC Reichenbach,FC Fortuna Thun,4:1,"
Cédric Allenbach
                        
                    ,
Sandro Hafner
                        
                    ,
Cédric Allenbach
                        
                    ,
Cédric Allenbach
                        
                    ","
Daniel Schafroth
                        
                    "
0,FC Fortuna Thun,FC Thun,2:2,,
0,FC Sarina,SV Meiringen,7:0,"
Oliver Oehrli
                        
                    ,
Pascal Annen
                        
                    ,
Björn Oehrli
                        
                    ,
Björn Oehrli
                        
                    ,
Rolf Von Grünigen
                        
                    ,
Rolf Von Grünigen
                        
                    ,
Oliver Oehrli
                        
                    ",
0,FC Steffisburg ,FC Rothorn ,1:2,,
0,FC Heimberg,FC Reichenbach,3:1,"
Eigentor (Jonas Müller)
,
Kilian Gerber
                        
                    ,
Kilian Gerber
                         (Penalty)
","
Pascal Aeschlimann
                        
                    "
0,SV Meiringen,FC Fortuna Thun,5:0,"
Marco Glarner
                        
                    ,
Andreas von Bergen
                        
                    ,
Fabian Colonia
                        
                    ,
Andreas von Bergen
                        
                    ,
Dario Egger
                        
                    ",
